Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
xmind,org.xmind.ui.internal.print.multipage,MultipageImagePreviewViewer,calculateFigureBorder,Complex Conditional,The conditional expression singleImages == null || singleImages.length == 0 || singleImages[0] == null || singleImages[0].isDisposed() is complex.
xmind,org.xmind.ui.internal.print.multipage,MultipageImagePreviewViewer,calculateFigureBorder,Long Statement,The length of the statement "borderFigure.setBounds(new org.eclipse.draw2d.geometry.Rectangle((int)(imageBorderBounds.x * ratio)`(int)(imageBorderBounds.y * ratio)`(int)(imageBorderBounds.width * ratio + 2)`(int)(imageBorderBounds.height * ratio + 1)));" is 224.
xmind,org.xmind.ui.internal.print.multipage,MultipageImagePreviewViewer,calculateFigureBorder,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.print.multipage,MultipageImagePreviewViewer,updateHFPreview,Long Parameter List,The method has 5 parameters. 
xmind,org.xmind.ui.internal.print.multipage,MultipageImagePreviewViewer,setFontHeightToPreview,Long Statement,The length of the statement "Font font=target == pageNumberFigure ? Display.getCurrent().getSystemFont() : (target == headerFigure ? headerFont : footerFont);" is 129.
xmind,org.xmind.ui.internal.print.multipage,MultipageImagePreviewViewer,getIcon,Long Statement,The length of the statement "return (Image)resources.get(MindMapUIPlugin.imageDescriptorFromPlugin(MindMapUI.PLUGIN_ID`"icons/nav/" + (enabled ? "e/" : "d/") + path));" is 138.
xmind,org.xmind.ui.internal.print.multipage,PreviewTextLayout,layout,Long Statement,The length of the statement "int y=area.y + area.height - size.height - Math.max((area.y + area.height - (borderBounds.y + borderBounds.height) - size.height) / 2`textMargin) + bottomDownValue;" is 164.
xmind,org.xmind.ui.internal.print.multipage,PreviewTextLayout,layout,Long Statement,The length of the statement "int y=area.y + area.height - size.height - Math.max((area.y + area.height - (borderBounds.y + borderBounds.height) - size.height) / 2`textMargin) + bottomDownValue;" is 164.
xmind,org.xmind.ui.internal.print.multipage,PreviewTextLayout,layout,Magic Number,The method contains a magic number: 5
xmind,org.xmind.ui.internal.print.multipage,PreviewTextLayout,layout,Magic Number,The method contains a magic number: 4
xmind,org.xmind.ui.internal.print.multipage,PreviewTextLayout,layout,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.print.multipage,PreviewTextLayout,layout,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.print.multipage,PreviewTextLayout,layout,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.print.multipage,PreviewTextLayout,layout,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.print.multipage,PrintMultipagePreviewImageCreator,collectContents,Magic Number,The method contains a magic number: 3
xmind,org.xmind.ui.internal.print.multipage,PrintMultipagePreviewImageCreator,createPrintPreviewSingleImage,Long Statement,The length of the statement "render.setBounds(new org.eclipse.draw2d.geometry.Rectangle(sourceProvider.getSourceArea()).expand(new Insets(margin)).expand(new Insets(heightPadding`widthPadding`heightPadding`widthPadding)));" is 193.
xmind,org.xmind.ui.internal.print.multipage,PrintMultipagePreviewImageCreator,createPrintPreviewSingleImage,Long Statement,The length of the statement "gc.setClipping(new Rectangle((int)(leftMarginPixel / ratio)`(int)((topMarginPixel + headerHeight) / ratio)`actualWidth`actualHeight));" is 134.
xmind,org.xmind.ui.internal.print.multipage,PrintMultipagePreviewImageCreator,createPrintPreviewSingleImage,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.print.multipage,PrintMultipagePreviewImageCreator,createPrintPreviewSingleImage,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.print.multipage,PrintMultipagePreviewImageCreator,run,Long Statement,The length of the statement "render.setBounds(new org.eclipse.draw2d.geometry.Rectangle(sourceProvider.getSourceArea()).expand(new Insets(margin)).expand(new Insets(heightPadding`widthPadding`heightPadding`widthPadding)));" is 193.
xmind,org.xmind.ui.internal.print.multipage,PrintMultipagePreviewImageCreator,run,Long Statement,The length of the statement "gc.setClipping(new Rectangle((int)(leftMarginPixel / ratio)`(int)((topMarginPixel + headerHeight) / ratio)`actualWidth`actualHeight));" is 134.
xmind,org.xmind.ui.internal.print.multipage,PrintMultipagePreviewImageCreator,run,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.print.multipage,PrintMultipagePreviewImageCreator,run,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.print.multipage,PrintMultipagePreviewImageCreator,getSingleImages2,Complex Conditional,The conditional expression singleImages == null || singleImages[0] == null || singleImages[0][0] == null || singleImages[0][0].isDisposed() is complex.
xmind,org.xmind.ui.internal.print.multipage,PrintMultipagePreviewImageCreator,createSingleImages,Long Statement,The length of the statement "double ratio=fullWidth ? ((double)usefulPerPageWidth * widthPages / sourceWidth) : ((double)usefulPerPageHeight * heightPages / sourceHeight);" is 142.
xmind,org.xmind.ui.internal.print.multipage,PrintMultipagePreviewImageCreator,createPrintPreviewRoughImage,Long Statement,The length of the statement "double ratio=fullWidth ? ((double)usefulPerPageWidth * widthPages / sourceWidth) : ((double)usefulPerPageHeight * heightPages / sourceHeight);" is 142.
xmind,org.xmind.ui.internal.print.multipage,PrintMultipagePreviewImageCreator,createPrintPreviewRoughImage,Long Statement,The length of the statement "Image image=new Image(display`(int)(usefulPerPageWidthByRatio) * widthPages`(int)(usefulPerPageHeightByRatio) * heightPages);" is 125.
xmind,org.xmind.ui.internal.print.multipage,PrintMultipagePreviewImageCreator,createPrintPreviewRoughImage,Long Statement,The length of the statement "PrintMultipagePreviewImageCreator.drawDashLine(gc`i * usefulPerPageWidthByRatio`0`i * usefulPerPageWidthByRatio`imageBounds.height`tickLength`spaceLength`lineWidth);" is 165.
xmind,org.xmind.ui.internal.print.multipage,PrintMultipagePreviewImageCreator,createPrintPreviewRoughImage,Long Statement,The length of the statement "PrintMultipagePreviewImageCreator.drawDashLine(gc`0`i * usefulPerPageHeightByRatio`imageBounds.width`i * usefulPerPageHeightByRatio`tickLength`spaceLength`lineWidth);" is 166.
xmind,org.xmind.ui.internal.print.multipage,PrintMultipagePreviewImageCreator,createPrintPreviewRoughImage,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.print.multipage,PrintMultipagePreviewImageCreator,createPrintPreviewRoughImage,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.print.multipage,PrintMultipagePreviewImageCreator,createPrintPreviewRoughImage,Magic Number,The method contains a magic number: 4
xmind,org.xmind.ui.internal.print.multipage,PrintMultipagePreviewImageCreator,getDouble,Empty catch clause,The method has an empty catch block.
xmind,org.xmind.ui.internal.print.multipage,PrintMultipagePreviewImageCreator,getInteger,Empty catch clause,The method has an empty catch block.
xmind,org.xmind.ui.internal.print.multipage,PrintMultipagePreviewImageCreator,drawDashLine,Long Parameter List,The method has 8 parameters. 
xmind,org.xmind.ui.internal.print.multipage,MindMapViewerPrintSourceProvider,collectContents,Magic Number,The method contains a magic number: 3
xmind,org.xmind.ui.internal.print.multipage,PrintMultipageMapHandler,execute,Complex Method,Cyclomatic complexity of the method is 12
xmind,org.xmind.ui.internal.print.multipage,PrintMultipageUtils,getMargin,Magic Number,The method contains a magic number: 100
xmind,org.xmind.ui.internal.print.multipage,PrintMultipageUtils,getMargin,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.print.multipage,PrintMultipageUtils,getMargin,Magic Number,The method contains a magic number: 10
xmind,org.xmind.ui.internal.print,PrintUtils,getPageNumberHeight,Long Statement,The length of the statement "pageNumberFont=FontUtils.getNewHeight(pageNumberFont`(pageNumberFont.getFontData())[0].getHeight() * targetDpi / UnitConvertor.getScreenDpi().y);" is 145.
xmind,org.xmind.ui.internal.print,PrintUtils,getFont,Long Statement,The length of the statement "font=new Font(Display.getCurrent()`FontUtils.newHeight(defaultFontData`defaultHeight * targetDpi / UnitConvertor.getScreenDpi().y));" is 132.
xmind,org.xmind.ui.internal.print,PrintClient,render,Long Statement,The length of the statement "this.area=ImageExportUtils.createExportAreaProvider(source.getSourceArea()`ResizeConstants.RESIZE_STRETCH`needRotate ? pageClientArea.height : pageClientArea.width`needRotate ? pageClientArea.width : pageClientArea.height`source.getMargins());" is 243.
xmind,org.xmind.ui.internal.print,PrintClient,pushState,Magic Number,The method contains a magic number: 6
xmind,org.xmind.ui.internal.print,PrintClient,createGraphics,Long Statement,The length of the statement "graphics.translate(pageClientArea.x - (needRotate ? (-bounds.y - bounds.height) : bounds.x)`pageClientArea.y - (needRotate ? bounds.x : bounds.y));" is 147.
xmind,org.xmind.ui.internal.print,PrintClient,getFont,Long Statement,The length of the statement "font=new Font(Display.getCurrent()`FontUtils.newHeight(defaultFontData`defaultHeight * dpi.y / UnitConvertor.getScreenDpi().y));" is 128.
xmind,org.xmind.ui.internal.print,PrintClient,drawText,Long Parameter List,The method has 5 parameters. 
xmind,org.xmind.ui.internal.print,PrintClient,drawText,Long Statement,The length of the statement "y=-pageClientArea.height / 2 - (pageClientArea.y - pageBounds.y) + Math.max((pageClientArea.y - pageBounds.y - size.height) / 2`marginWidth);" is 141.
xmind,org.xmind.ui.internal.print,PrintClient,drawText,Long Statement,The length of the statement "y=pageClientArea.height / 2 + (pageBounds.y + pageBounds.height - (pageClientArea.y + pageClientArea.height)) - size.height - Math.max((pageBounds.y + pageBounds.height - (pageClientArea.y + pageClientArea.height) - size.height) / 2`marginWidth);" is 246.
xmind,org.xmind.ui.internal.print,PrintClient,drawText,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.print,PrintClient,drawText,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.print,PrintClient,drawText,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.print,PrintClient,drawText,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.print,PrintClient,drawText,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.print,PrintClient,drawText,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.print,PrintClient,drawText,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.print,PrintClient,drawText,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,AbstractCalloutBranchConnection,getOutlineBox,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,AbstractCalloutBranchConnection,setFillColor,Complex Conditional,The conditional expression c == this.fillColor || (c != null && c.equals(this.fillColor)) is complex.
xmind,org.xmind.ui.internal.decorations,RoundedRectCalloutTopicDecoration,sketch,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,RoundedRectCalloutTopicDecoration,sketch,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,RoundedRectCalloutTopicDecoration,sketch,Magic Number,The method contains a magic number: 4
xmind,org.xmind.ui.internal.decorations,RoundedRectCalloutTopicDecoration,sketch,Magic Number,The method contains a magic number: 4
xmind,org.xmind.ui.internal.decorations,RoundedRectCalloutTopicDecoration,sketch,Magic Number,The method contains a magic number: 4
xmind,org.xmind.ui.internal.decorations,RoundedRectCalloutTopicDecoration,sketch,Magic Number,The method contains a magic number: 4
xmind,org.xmind.ui.internal.decorations,RoundedRectCalloutTopicDecoration,getTailHeight,Magic Number,The method contains a magic number: 3
xmind,org.xmind.ui.internal.decorations,DiamondArrowDecoration,reshape,Magic Number,The method contains a magic number: 3
xmind,org.xmind.ui.internal.decorations,DiamondArrowDecoration,reshape,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,DecorationDescriptor,DecorationDescriptor,Complex Conditional,The conditional expression (classElement == null && factoryElement == null) || !hasClassAttribute() is complex.
xmind,org.xmind.ui.internal.decorations,DecorationDescriptor,DecorationDescriptor,Long Statement,The length of the statement "if ((classElement == null && factoryElement == null) || !hasClassAttribute()) throw new CoreException(new Status(IStatus.ERROR`element.getNamespaceIdentifier()`0`"Invalid extension (missing class name): " + id`null));" is 217.
xmind,org.xmind.ui.internal.decorations,DecorationDescriptor,getContributedFactory,Long Identifier,The length of the field triedLoadingContributedFacotry is 30.
xmind,org.xmind.ui.internal.decorations,HerringBoneArrowDecoration,reshape,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,HerringBoneArrowDecoration,reshape,Magic Number,The method contains a magic number: 4
xmind,org.xmind.ui.internal.decorations,HerringBoneArrowDecoration,reshape,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,HerringBoneArrowDecoration,reshape,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,HerringBoneArrowDecoration,reshape,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,CalloutEllipseBalloonDecoration,sketch,Magic Number,The method contains a magic number: 360
xmind,org.xmind.ui.internal.decorations,CalloutEllipseBalloonDecoration,getPreferredInsets,Magic Number,The method contains a magic number: 2.0
xmind,org.xmind.ui.internal.decorations,CalloutEllipseBalloonDecoration,getPreferredInsets,Magic Number,The method contains a magic number: 2.0
xmind,org.xmind.ui.internal.decorations,CalloutEllipseBalloonDecoration,getPreferredInsets,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,CalloutEllipseBalloonDecoration,getPreferredInsets,Magic Number,The method contains a magic number: 4
xmind,org.xmind.ui.internal.decorations,CalloutEllipseBalloonDecoration,getPreferredInsets,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,CalloutEllipseBalloonDecoration,getPreferredInsets,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,SquareArrowDecoration,reshape,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,SummaryDecorationAdapter,containsPoint,Long Statement,The length of the statement "if (decoration instanceof IConnectionDecorationEx) return ((IConnectionDecorationEx)decoration).containsPoint(figure`x`y);" is 122.
xmind,org.xmind.ui.internal.decorations,SummaryDecorationAdapter,getPreferredBounds,Long Statement,The length of the statement "if (decoration instanceof IConnectionDecorationEx) return ((IConnectionDecorationEx)decoration).getPreferredBounds(figure);" is 123.
xmind,org.xmind.ui.internal.decorations,TopicDecorationAdapter,getAnchorLocation,Long Statement,The length of the statement "if (decoration instanceof IShapeDecorationEx) return ((IShapeDecorationEx)decoration).getAnchorLocation(figure`refX`refY`expansion);" is 132.
xmind,org.xmind.ui.internal.decorations,TopicDecorationAdapter,getPreferredInsets,Long Statement,The length of the statement "if (decoration instanceof IShapeDecorationEx) return ((IShapeDecorationEx)decoration).getPreferredInsets(figure`width`height);" is 126.
xmind,org.xmind.ui.internal.decorations,TensionBoundaryDecoration,getMarginAmount,Magic Number,The method contains a magic number: 0.2f
xmind,org.xmind.ui.internal.decorations,TensionBoundaryDecoration,sketchBottomSegment,Long Parameter List,The method has 6 parameters. 
xmind,org.xmind.ui.internal.decorations,TensionBoundaryDecoration,sketchLeftSegment,Long Parameter List,The method has 6 parameters. 
xmind,org.xmind.ui.internal.decorations,TensionBoundaryDecoration,sketchRightSegment,Long Parameter List,The method has 6 parameters. 
xmind,org.xmind.ui.internal.decorations,TensionBoundaryDecoration,sketchTopSegment,Long Parameter List,The method has 6 parameters. 
xmind,org.xmind.ui.internal.decorations,TensionBoundaryDecoration,getPreferredInsets,Magic Number,The method contains a magic number: 10
xmind,org.xmind.ui.internal.decorations,EllipseTopicDecoration,sketch,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,EllipseTopicDecoration,sketch,Magic Number,The method contains a magic number: 360
xmind,org.xmind.ui.internal.decorations,EllipseTopicDecoration,sketch,Magic Number,The method contains a magic number: 360
xmind,org.xmind.ui.internal.decorations,EllipseTopicDecoration,getPreferredInsets,Magic Number,The method contains a magic number: 2.0
xmind,org.xmind.ui.internal.decorations,EllipseTopicDecoration,getPreferredInsets,Magic Number,The method contains a magic number: 2.0
xmind,org.xmind.ui.internal.decorations,EllipseTopicDecoration,getPreferredInsets,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,EllipseTopicDecoration,getPreferredInsets,Magic Number,The method contains a magic number: 4
xmind,org.xmind.ui.internal.decorations,EllipseTopicDecoration,getPreferredInsets,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,EllipseTopicDecoration,getPreferredInsets,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,CurveBranchConnection,calculateControlPoints,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,CurveBranchConnection,calculateControlPoints,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,CurveBranchConnection,calcControlPoint,Long Statement,The length of the statement "return result.setLocation(targetHorizontal ? target.x * getControlPointRatio() + source.x * (1 - getControlPointRatio()) : target.x`targetHorizontal ? target.y : target.y * getControlPointRatio() + source.y * (1 - getControlPointRatio()));" is 239.
xmind,org.xmind.ui.internal.decorations,DecorationManager,ensureLoaded,Complex Conditional,The conditional expression categories != null && categoriedDescriptors != null && decorationDescriptors != null is complex.
xmind,org.xmind.ui.internal.decorations,SegmentedBoundaryDecoration,sketchTopSegment,Long Parameter List,The method has 6 parameters. 
xmind,org.xmind.ui.internal.decorations,SegmentedBoundaryDecoration,sketchRightSegment,Long Parameter List,The method has 6 parameters. 
xmind,org.xmind.ui.internal.decorations,SegmentedBoundaryDecoration,sketchBottomSegment,Long Parameter List,The method has 6 parameters. 
xmind,org.xmind.ui.internal.decorations,SegmentedBoundaryDecoration,sketchLeftSegment,Long Parameter List,The method has 6 parameters. 
xmind,org.xmind.ui.internal.decorations,RoundedRectTopicDecoration,sketch,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,RoundedRectTopicDecoration,sketch,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,TimelineHorizontalConnection,getPosition,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,TimelineHorizontalConnection,getPosition,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,CircleTopicDecoration,sketch,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,CircleTopicDecoration,sketch,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,CircleTopicDecoration,sketch,Magic Number,The method contains a magic number: 360
xmind,org.xmind.ui.internal.decorations,CircleTopicDecoration,sketch,Magic Number,The method contains a magic number: 360
xmind,org.xmind.ui.internal.decorations,CircleTopicDecoration,getPreferredInsets,Long Statement,The length of the statement "return new Insets((int)(diameter - height) / 2 + margin`(int)(diameter - width) / 2 + margin`(int)(diameter - height) / 2 + margin`(int)(diameter - width) / 2 + margin);" is 169.
xmind,org.xmind.ui.internal.decorations,CircleTopicDecoration,getPreferredInsets,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,CircleTopicDecoration,getPreferredInsets,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,CircleTopicDecoration,getPreferredInsets,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,CircleTopicDecoration,getPreferredInsets,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,CircleTopicDecoration,getPreferredInsets,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,AngledRelationshipDecoration,calcTitlePosition,Long Parameter List,The method has 6 parameters. 
xmind,org.xmind.ui.internal.decorations,AngledRelationshipDecoration,calcTitlePosition,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,AngledRelationshipDecoration,calcTitlePosition,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,UnderlineTopicDecoration,sketch,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,ParallelogramTopicDecoration,sketch,Magic Number,The method contains a magic number: 0.5f
xmind,org.xmind.ui.internal.decorations,ParallelogramTopicDecoration,getPreferredInsets,Long Statement,The length of the statement "return new Insets(getTopMargin() + getLineWidth()`getLeftMargin() + getLineWidth() + Math.round(height * SCALE)+ 1`getBottomMargin() + getLineWidth()`getRightMargin() + getLineWidth() + Math.round(height * SCALE)+ 1);" is 217.
xmind,org.xmind.ui.internal.decorations,ParallelogramTopicDecoration,getAnchorLocation,Complex Conditional,The conditional expression Math.abs(dy) < r.height / 2 || ((dy >= r.height / 2 && dx > r.width / 2 - r.height / 2) || (dy <= -r.height / 2 && dx < -r.width / 2 + r.height / 2)) is complex.
xmind,org.xmind.ui.internal.decorations,ParallelogramTopicDecoration,getAnchorLocation,Long Statement,The length of the statement "if (dy == 0) return new PrecisionPoint((dx > 0) ? r.right() - r.height * SCALE * SCALE + expansion : r.x + r.height * SCALE * SCALE - expansion`refY);" is 150.
xmind,org.xmind.ui.internal.decorations,ParallelogramTopicDecoration,getAnchorLocation,Long Statement,The length of the statement "if (Math.abs(dy) < r.height / 2 || ((dy >= r.height / 2 && dx > r.width / 2 - r.height / 2) || (dy <= -r.height / 2 && dx < -r.width / 2 + r.height / 2))) {" is 156.
xmind,org.xmind.ui.internal.decorations,ParallelogramTopicDecoration,getAnchorLocation,Magic Number,The method contains a magic number: 0.5f
xmind,org.xmind.ui.internal.decorations,ParallelogramTopicDecoration,getAnchorLocation,Magic Number,The method contains a magic number: 0.5f
xmind,org.xmind.ui.internal.decorations,ParallelogramTopicDecoration,getAnchorLocation,Magic Number,The method contains a magic number: 0.5f
xmind,org.xmind.ui.internal.decorations,ParallelogramTopicDecoration,getAnchorLocation,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,ParallelogramTopicDecoration,getAnchorLocation,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,ParallelogramTopicDecoration,getAnchorLocation,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,ParallelogramTopicDecoration,getAnchorLocation,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,ParallelogramTopicDecoration,getAnchorLocation,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,ParallelogramTopicDecoration,getAnchorLocation,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,ParallelogramTopicDecoration,getAnchorLocation,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,SpearHeadArrowDecoration,reshape,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,SpearHeadArrowDecoration,reshape,Magic Number,The method contains a magic number: 6
xmind,org.xmind.ui.internal.decorations,SpearHeadArrowDecoration,reshape,Magic Number,The method contains a magic number: 0.5
xmind,org.xmind.ui.internal.decorations,ZigzagRelationshipDecoration,route,Complex Method,Cyclomatic complexity of the method is 9
xmind,org.xmind.ui.internal.decorations,ZigzagRelationshipDecoration,route,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,ZigzagRelationshipDecoration,route,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,ZigzagRelationshipDecoration,getSourceAnchorAngle,Complex Method,Cyclomatic complexity of the method is 10
xmind,org.xmind.ui.internal.decorations,ZigzagRelationshipDecoration,getSourceAnchorAngle,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,ZigzagRelationshipDecoration,getSourceAnchorAngle,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,ZigzagRelationshipDecoration,getSourceAnchorAngle,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,ZigzagRelationshipDecoration,getSourceAnchorAngle,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,ZigzagRelationshipDecoration,getTargetAnchorAngle,Complex Method,Cyclomatic complexity of the method is 10
xmind,org.xmind.ui.internal.decorations,ZigzagRelationshipDecoration,getTargetAnchorAngle,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,ZigzagRelationshipDecoration,getTargetAnchorAngle,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,ZigzagRelationshipDecoration,getTargetAnchorAngle,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,ZigzagRelationshipDecoration,getTargetAnchorAngle,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,ZigzagRelationshipDecoration,calcTitlePosition,Long Parameter List,The method has 6 parameters. 
xmind,org.xmind.ui.internal.decorations,ZigzagRelationshipDecoration,calcTitlePosition,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,ZigzagRelationshipDecoration,calcTitlePosition,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,ZigzagRelationshipDecoration,calcTitlePosition,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,ZigzagRelationshipDecoration,calcTitlePosition,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Complex Method,Cyclomatic complexity of the method is 18
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Long Method,The method has 187 lines of code.
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 90
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 90
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 180
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 90
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 90
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 90
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 90
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 2
xmind,org.xmind.ui.internal.decorations,RoundedRectBalloonCalloutBranchConnection,route,Magic Number,The method contains a magic number: 2
